date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:41:30	64086/64086	---M-Z	200	added ('OK')	text/html	date:Fri,%2025%20Oct%202024%2001:09:42%20GMT	https://tanshcreative.com/olyve-st-preview/index.html	C:/Users/pc/Documents/Portfolio/tanshcreative.com/olyve-st-preview/index.html	(from )
08:41:33	67/67	---MC-	200	added ('OK')	text/plain	date:Thu,%2019%20Dec%202024%2016:40:32%20GMT	https://tanshcreative.com/robots.txt		(from )
08:41:33	342/342	---M--	200	added ('OK')	image/png	date:Mon,%2004%20Mar%202024%2006:42:52%20GMT	https://tanshcreative.com/olyve-st-preview/assets/images/icons/favicon.png	C:/Users/pc/Documents/Portfolio/tanshcreative.com/olyve-st-preview/assets/images/icons/favicon.png	(from https://tanshcreative.com/olyve-st-preview/index.html)
08:41:33	1650/1650	---M--	200	added ('OK')	image/png	date:Mon,%2004%20Mar%202024%2006:42:40%20GMT	https://tanshcreative.com/olyve-st-preview/assets/images/icons/cropped-favicon-192x192.png	C:/Users/pc/Documents/Portfolio/tanshcreative.com/olyve-st-preview/assets/images/icons/cropped-favicon-192x192.png	(from https://tanshcreative.com/olyve-st-preview/index.html)
08:41:34	1963/1963	---M--	200	added ('OK')	image/png	date:Mon,%2004%20Mar%202024%2006:42:32%20GMT	https://tanshcreative.com/olyve-st-preview/assets/images/icons/cropped-favicon-180x180.png	C:/Users/pc/Documents/Portfolio/tanshcreative.com/olyve-st-preview/assets/images/icons/cropped-favicon-180x180.png	(from https://tanshcreative.com/olyve-st-preview/index.html)
08:41:34	3283/3283	---M--	200	added ('OK')	image/png	date:Mon,%2004%20Mar%202024%2017:25:38%20GMT	https://tanshcreative.com/olyve-st-preview/assets/images/icons/cropped-favicon-270x270.png	C:/Users/pc/Documents/Portfolio/tanshcreative.com/olyve-st-preview/assets/images/icons/cropped-favicon-270x270.png	(from https://tanshcreative.com/olyve-st-preview/index.html)
08:41:36	8120/8120	---M--	200	added ('OK')	text/css	date:Thu,%2015%20Aug%202024%2005:32:08%20GMT	https://tanshcreative.com/olyve-st-preview/assets/fonts/iconfont.css	C:/Users/pc/Documents/Portfolio/tanshcreative.com/olyve-st-preview/assets/fonts/iconfont.css	(from https://tanshcreative.com/olyve-st-preview/index.html)
08:41:37	232906/232906	---M--	200	added ('OK')	text/css	date:Sun,%2017%20Mar%202024%2005:14:08%20GMT	https://tanshcreative.com/olyve-st-preview/assets/css/bootstrap.min.css	C:/Users/pc/Documents/Portfolio/tanshcreative.com/olyve-st-preview/assets/css/bootstrap.min.css	(from https://tanshcreative.com/olyve-st-preview/index.html)
08:41:38	18471/18471	---M--	200	added ('OK')	text/css	date:Tue,%2022%20Oct%202024%2006:00:46%20GMT	https://tanshcreative.com/olyve-st-preview/assets/css/swiper.min.css	C:/Users/pc/Documents/Portfolio/tanshcreative.com/olyve-st-preview/assets/css/swiper.min.css	(from https://tanshcreative.com/olyve-st-preview/index.html)
08:41:38	15351/15351	---M--	200	added ('OK')	text/css	date:Fri,%2026%20Apr%202024%2023:27:12%20GMT	https://tanshcreative.com/olyve-st-preview/assets/css/venobox.min.css	C:/Users/pc/Documents/Portfolio/tanshcreative.com/olyve-st-preview/assets/css/venobox.min.css	(from https://tanshcreative.com/olyve-st-preview/index.html)
08:41:39	1388/1388	---M--	200	added ('OK')	text/css	date:Thu,%2024%20Oct%202024%2016:44:56%20GMT	https://tanshcreative.com/olyve-st-preview/assets/css/responsive.css	C:/Users/pc/Documents/Portfolio/tanshcreative.com/olyve-st-preview/assets/css/responsive.css	(from https://tanshcreative.com/olyve-st-preview/index.html)
08:41:39	62044/62044	---M--	200	added ('OK')	text/css	date:Fri,%2025%20Oct%202024%2003:38:34%20GMT	https://tanshcreative.com/olyve-st-preview/assets/css/style.css	C:/Users/pc/Documents/Portfolio/tanshcreative.com/olyve-st-preview/assets/css/style.css	(from https://tanshcreative.com/olyve-st-preview/index.html)
